S. No,Producto,Código,Garantía,Especificações Técnicas
59,MOTOBOMBA GASOLINA,BWP3x3SA,12 Meses,"

Tipo de bomba : Autocebante
Potencia máxima : 7,0 HP
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 55000 litros por hora
Diámetro del succion : 3 Pulgadas
Diámetro del descarga : 3 Pulgadas
Elevación total : 28 Metros
Altura de succión : 8 Metros
Tamaño tanque combustible : 3,6 Litros"
60,MOTOBOMBA DIESEL,BDWP2x2SA,12 Meses,"

Tipo de bomba : Autocebante
Motor: Diesel, 211cc 
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 22000 litros por hora
Diámetro del succion y descarga: 2 Pulgadas x 2 pulgadas
Elevación total : 15 Metros
Altura de succión : 7 Metros
Tamaño tanque combustible : 2,5 Litros
Arranque Manual"
61,MOTOBOMBA DIESEL,BDWP3x3SA,12 Meses,"

Tipo de bomba : Autocebante
Motor: Diesel, 296cc 
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 35000 litros por hora
Diámetro del succion y descarga: 3 Pulgadas x 3 pulgadas
Elevación total : 17 Metros
Altura de succión : 7 Metros
Tamaño tanque combustible : 3,5 Litros
Arranque Manual"
62,MOTOBOMBA DIESEL,BDWP2x2CA,12 Meses,"

Tipo de bomba : Autocebante
Motor: Diesel, 396cc 
Sistema de arranque : Retráctil
Capacidad máxima de bombeo : 25000 litros por hora
Diámetro del succion y descarga: 2 Pulgadas x 2 pulgadas
Elevación total : 70 Metros
Altura de succión : 5 Metros
Tamaño tanque combustible : 3,5 Litros
Arranque manual"
63,GENERADOR DE GASOLINA,BG1.2AS1-60,12 Meses,"

Potencia máxima : 1,2 KW
Potencia nominal : 1,1 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 113cc - 4HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 9,6 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
64,GENERADOR DE GASOLINA,BG1.2AS2-60,12 Meses,"

Potencia máxima : 1,2 KW
Potencia nominal : 1,1 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 113cc - 4HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 9,6 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
65,GENERADOR DE GASOLINA,BG1.0AS1-50,12 Meses,"

Potencia máxima : 1,0 KW
Potencia nominal : 0,9 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 50Hz
Motor : 113cc - 4HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 9,6 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
66,GENERADOR DE GASOLINA,BG1.0AS2-50,12 Meses,"

Potencia máxima : 1,0 KW
Potencia nominal : 0,9 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 50Hz
Motor : 113cc - 4HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 9,6 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 350 ml"
67,GENERADOR DE GASOLINA,BG3.0AS1-60,12 Meses,"

Potencia máxima : 3,0 KW
Potencia nominal : 2,8 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
68,GENERADOR DE GASOLINA,BG3.0AS2-60,12 Meses,"

Potencia máxima : 3,0 KW
Potencia nominal : 2,8 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
69,GENERADOR DE GASOLINA,BG2.7AS1-50,12 Meses,"

Potencia máxima : 2,7 KW
Potencia nominal : 2,5 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 50Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
70,GENERADOR DE GASOLINA,BG2.7AS2-50,12 Meses,"

Potencia máxima : 2,7 KW
Potencia nominal : 2,5 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 50Hz
Motor : 212cc - 7HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 15,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 600 ml"
71,GENERADOR DE GASOLINA,BG6.5AS1-60,12 Meses,"

Potencia máxima : 6,5 KW
Potencia nominal : 6,0 KW
Bobina del estator : 100% Cobre
Voltaje : 110V - 60Hz
Motor : 420cc - 15HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 25,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1100 ml"
72,GENERADOR DE GASOLINA,BG6.5AS2-60,12 Meses,"

Potencia máxima : 6,5 KW
Potencia nominal : 6,0 KW
Bobina del estator : 100% Cobre
Voltaje : 220V - 60Hz
Motor : 420cc - 15HP / OHV, Gasolina, 4 Tiempos
Autonomia al 50% de carga : 12 Horas
Capacidad tanque combustible : 25,0 Litros
Sistema de arranque : Retráctil
Capacidad deposito aceite : 1100 ml"
